count,keyword
26,funding
20,government
19,transportation
11,transit
8,infrastructure
7,california
7,transportation infrastructure
6,guidelines
5,climate action plan
5,capital projects
4,projects
4,safety
4,equity
4,transit transformation task force
4,intercity rail
4,ridership
4,task force
3,action plan
3,sustainability
3,transit service
3,operations
3,capital program
3,meeting
2,infrastructure investment
2,implementation
2,california state transportation agency
2,greenhouse gas emissions
2,technology
2,community
2,availability
2,customer goals
2,climate action
2,commuter rail
2,highway investments
2,carbon reduction program
2,funding allocation
2,zero-emission
2,state investment
2,rail transit projects
2,public comment
1,freight movement
1,survey results
1,freight
1,multimodal
1,network
1,framework
1,greenhouse gas
1,scalability
1,turnkey contracts
1,stakeholder workshop
1,project
1,sustainable
1,accountability
1,governance
1,risk assessment
1,controls
1,payment
1,agency
1,report
1,expenses
1,strategic plan
1,innovation
1,transit accessibility
1,rail assistance
1,project proposals
1,california department of transportation
1,rail network
1,state parks
1,executive orders
1,emissions
1,government documentation
1,public transportation
1,public health
1,public transit
1,reconnecting communities
1,pilot program
1,state rail assistance
1,amended guidelines
1,autonomous vehicles
1,strategic framework
1,vision
1,guiding principles
1,charter
1,housing
1,coordination
1,workgroup
1,federal guidelines
1,transportation emissions
1,project eligibility
1,iija
1,infrastructure investment and jobs act
1,transit and commuter rail
1,intercity passenger rail
1,highway
1,ltsa
1,transit operations
1,rail
1,financial plan
1,ridership recovery
1,regional coordination
1,revenue sources
1,services
1,orange county
1,privacy
1,personal information
1,information practices act
1,internet privacy
1,zero emission
1,reorganization
1,agencies
1,departments
1,executive branch
1,transportation agency
1,safer speeds
1,speed limits
1,transportation system
1,road safety
1,speed management
1,investments
1,electrification
1,transit operators
1,rail corridor
1,working group
1,safety activities
1,data-driven process
1,traffic safety
1,collision factors
1,strategic approach
1,modernization
1,northern california
1,state funding
1,regional mobility
1,southern california
1,high-speed rail
1,transit operator
1,partnerships
1,rural areas
1,zero-emission vehicles
1,integration
1,disadvantaged communities
1,emissions reduction
1,transit transformation
1,transit ridership
1,transformation
1,meetings
1,adjustments
1,bagley-keene open meeting act
1,public records act
1,political reform act
1,ethics training
1,findings
1,policy recommendations
1,transit prioritization
1,principles
1,calsta
1,meeting minutes
