link,title,domain,date
https://calsta.ca.gov/-/media/calsta-media/documents/sdregrailcorridorfinalreportfinala11y.pdf,LA/San Diego Regional Rail Corridor WG final report,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/bcag_a11y.pdf,BCAG TIRCP/ZETCP Allocation Package -Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sbcta_a11y.pdf,IAP.B-Initial Allocation Package_Narrative,calsta.ca.gov,1 lug 2024
https://calsta.ca.gov/-/media/calsta-media/documents/tircpcycle7guidelinesworkshopnorcalfinala11y.pdf,TIRCP Cycle 7 Guidelines Workshop (NorCal),calsta.ca.gov,18 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/final_avsf_visionguidingprinciples.pdf,Autonomous Vehicles Strategic Framework,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/mendocino_a11y.pdf,Mendocino Council of Governments - SB 125 Formula-Based ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/lametro_a11y.pdf,LA Metro Allocation Package,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/plumas_a11y.pdf,SB 125 Formula-Based Transit and Intercity Rail Capital ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/maderacounty_a11y.pdf,Madera County,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tttfworkshop34152024meetingminutesapproveda11y.pdf,Transit Transformation Task Force (TTTF) - Meeting #3,calsta.ca.gov,15 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/mtc_a11y.pdf,Short-term Financial Plan for the San Francisco Bay Area,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/20210517capticommentltrsigned.pdf,Letter from Oakland Mayor's Office to David S Kim,calsta.ca.gov,14 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/rctc_a11y.pdf,SB 125 Formula-Based TIRCP & ZETCP Allocation Package,calsta.ca.gov,22 dic 2023
https://calsta.ca.gov/-/media/calsta-media/documents/updatetotaskforcememberstttfmeeting3insandiegoapril15overviewoftechnicalworkinggrouptwgkickoffmeetin.pdf,TTTF Meeting #3 in San Diego April 15 + Overview of ...,calsta.ca.gov,11 Mar 2024
https://calsta.ca.gov/-/media/calsta-media/documents/shasta_a11y.pdf,Allocation Package Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/lake_county_a11y.pdf,SB 125 Formula-Based Transit and Intercity Rail Capital ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/lassen_a11y.pdf,SB 125 TIRCP & ZETCP Allocation Package Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tahoe_a11y.pdf,SB 125 Allocation Package Narrative Explanation - Tahoe ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sandag_a11y.pdf,SB 125 Cover Letter,calsta.ca.gov,1 lug 2024
https://calsta.ca.gov/-/media/calsta-media/documents/capti_20210518.pdf,capti_20210518 (pdf),calsta.ca.gov,18 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/kings_a11y.pdf,Kings County Association of Governments,calsta.ca.gov,1 lug 2024
https://calsta.ca.gov/-/media/calsta-media/documents/nevada_county_a11y.pdf,Nevada County Transportation Commission SB 125 TIRCP ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sacog_a11y.pdf,SACOG SB 125 Allocation Package,calsta.ca.gov,30 mag 2024
https://calsta.ca.gov/-/media/calsta-media/documents/placer_a11y.pdf,PCTPA SB 125 Initial Allocation Request Package_12-29-23,calsta.ca.gov,1 lug 2024
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_southern_california.pdf,State Investment in Southern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_captidraft_sbctacomments_20210519.pdf,Letter from San Bernardino County ...,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_pre_application_meetings_common_themes_faqs_final_11_27_19.pdf,TIRCP Pre Application FAQs,calsta.ca.gov,18 Nov 2019
https://calsta.ca.gov/-/media/calsta-media/documents/tircpcycle7guidelinesworkshopsocalfinala11y.pdf,Transit and Intercity Rail Capital Program (TIRCP) Cycle 7,calsta.ca.gov,16 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/del_norte_a11y.pdf,SB 125 FORMULA-BASED TRANSIT AND INTERCITY ...,calsta.ca.gov,23 dic 2023
https://calsta.ca.gov/-/media/calsta-media/documents/transittransformationtaskforcewelcomeemail_a11y.pdf,Transit Transformation Task Force Welcome Email,calsta.ca.gov,15 dic 2023
https://calsta.ca.gov/-/media/calsta-media/documents/calaveras_a11y.pdf,Calaveras County - California State Transportation Agency,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sdmts_a11y.pdf,SB 125 Formula-Based Transit and Intercity Rail Capital ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/commentsdraft2ndcaptiar2023a11y.pdf,2023 Climate Action Plan for Transportation Infrastructure ...,calsta.ca.gov,2 Nov 2023
https://calsta.ca.gov/-/media/calsta-media/documents/octa_a11y.pdf,OCTA SB 125 TIRCP & ZETCP Allocation Package,calsta.ca.gov,31 dic 2023
https://calsta.ca.gov/-/media/calsta-media/documents/htchartersigned06192024a11y.pdf,Transportation and Housing Coordination Workgroup Charter,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tamc_a11y.pdf,Transportation Agency for Monterey County,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/futureportscapticommentsletterfinaldocx.pdf,Letter from FuturePorts to David S Kim,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/ccta_capti_letter57080.pdf,Letter from Contra Costa Transportation Authority to David ...,calsta.ca.gov,18 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_northern_california.pdf,State Investment in Northern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/fed_reconnecting_communities_factsheet_a11y.pdf,Federal Reconnecting Communities Pilot Program Factsheet,calsta.ca.gov,2 giu 2022
https://calsta.ca.gov/-/media/calsta-media/documents/srta_commentletter_capti.pdf,Letter from Shasta Regional Transportation Agency to David S ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/portandfreightinfrastructureprogrampfipnonproportionalspendingguidancea11y.pdf,Port and Freight Infrastructure Program (PFIP) Non ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti_ocbc-comments_5182021.pdf,CAPTI_OCBC Comments_5182021 (PDF),calsta.ca.gov,18 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/ccc_-_calsta_capti_letter_may_2021.pdf,Letter from California Coastal Commission to CalSTA,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/transit_transformation_task_force_meeting_4_information-a11y.pdf,Transit Transformation Task Force Meeting #4 Information,calsta.ca.gov,11 giu 2024
https://calsta.ca.gov/-/media/calsta-media/documents/tttf_meeting_6_draft_agenda_final-a11y.pdf,TTTF Meeting #6 Agenda (DRAFT),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/laacccapti-letterdocx.pdf,Letter from LA Chamber of Commerce to David S Kim,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/final_avsf_visionguidingprinciples-a11y.pdf,Autonomous Vehicles Strategic Framework,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_northern_california-a11y.pdf,State Investment in Northern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/scta-capti_modified.pdf,SCTA CAPTI_modified (PDF),calsta.ca.gov,10 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/safetrec_grembek_ab2363_06252019-a11y.pdf,Considerations for Speed Limits and Management,calsta.ca.gov,25 giu 2019
https://calsta.ca.gov/-/media/calsta-media/documents/bac_supportcapti_002.pdf,Letter from Bay Area Council to David S Kim,calsta.ca.gov,29 Apr 2021
https://calsta.ca.gov/-/media/calsta-media/documents/iija-subworkinggroup_ally.pdf,IIJA Sub Working Group,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/shsp_overview-a11y.pdf,"SHSP Vision, Mission & Objective",calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sacog-lettercapti.pdf,Letter from SACOG to David S Kim,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_guidelines_comparison-20240426_a11y.pdf,TIRCP Cycle 7 Final Guidelines Comparison (04/26/2024),calsta.ca.gov,26 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_southern_california-a11y.pdf,State Investment in Southern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_final-guidelines_20240426_a11y.pdf,"TIRCP Cycle 7 Final Guidelines - April 30, 2024",calsta.ca.gov,30 Apr 2024
