link,title,domain,date
https://calsta.ca.gov/-/media/calsta-media/documents/01262022_iija_wgmting_fgm_slides-a11y.pdf,IIJA FGM presentation,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/02172022_mtg2_fgmswg_ca_frntwk_draft_final-a11y.pdf,California Multimodal Freight Network Framework (FGM SWG),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/20240612-tircp_faq_final-a11y.pdf,TIRCP Cycle 7: Frequently Asked Questions,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/21-0318_capti_workshop_summary_final.pdf,Draft CAPTI Spring Stakeholder Workshop,calsta.ca.gov,3/30/21
https://calsta.ca.gov/-/media/calsta-media/documents/bcag_a11y.pdf,BCAG TIRCP/ZETCP Allocation Package -Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/calaveras_a11y.pdf,Calaveras County - California State Transportation Agency,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_fppc_form_801_japan_trip_2023_p1-a11y.pdf,CalSTA FPPC Form 801 Japan Trip March 2023 - signed,calsta.ca.gov,8/1/23
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_sp_one-pager_final-a11y.pdf,CalSTA 2024-2026 Strategic Plan (1-Page),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_tttf_meeting_3_presentation_final-a11y.pdf,CalSTA Transit Transformation Task Force (TTTF) Meeting 3,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/calsta-slaa-report-a11y.pdf,Leadership Accountability Report,calsta.ca.gov,12/28/21
https://calsta.ca.gov/-/media/calsta-media/documents/caltrans-sra-project-concepts.pdf,State Rail Assistance Project Concept Proposals,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti-2021-calsta.pdf,CAPTI: Climate Action Plan for Transportation Infrastructure,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti-comment-letter.pdf,CAPTI Comment Letter - California State Transportation Agency,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti-stancog-letter_final.pdf,tl- StanCOG - ~ Stanislaus Council of Governments,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti-support-letterdocx.pdf,Secretary David Kim - California State Transportation Agency,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti-via-comments.pdf,Via Transportation Inc. letter to CAPTI working group,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/fed_reconnecting_communities_factsheet_a11y.pdf,Federal Reconnecting Communities Pilot Program Factsheet,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/final_amended_sra_guidelines_2019-12-31_a11y.pdf,SRA Final Amended Guidelines 2020-21 through 2024-25,calsta.ca.gov,12/31/19
https://calsta.ca.gov/-/media/calsta-media/documents/final_avsf_visionguidingprinciples-a11y.pdf,Autonomous Vehicles Strategic Framework,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/htchartersigned06192024a11y.pdf,Transportation and Housing Coordination Workgroup Charter,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija_kickoff-meetingpacket_031022-a11y.pdf,iija equity sub- working group,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija_safety-subgroup-a11y.pdf,Safety Subgroup presentation slides,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija-rhi-meeting3_20220722_presentation_a11y.pdf,IIJA Reimagining Highway Investments Sub-Working Group,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija-rhi-meeting4_20221019_notes_a11y.pdf,"Carbon Reduction Program - October 19, 2022",calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija-subworkinggroup_ally.pdf,IIJA Sub Working Group,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija-transitcommrail_ally.pdf,IIJA Transit and Commuter Rail,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/kings_a11y.pdf,Kings County Association of Governments,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/lametro_a11y.pdf,LA Metro Allocation Package,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/lassen_a11y.pdf,SB 125 TIRCP & ZETCP Allocation Package Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/maderacounty_a11y.pdf,Madera County,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/mtc_a11y.pdf,Short-term Financial Plan for the San Francisco Bay Area,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/octa_a11y.pdf,OCTA SB 125 TIRCP & ZETCP Allocation Package,calsta.ca.gov,12/31/23
https://calsta.ca.gov/-/media/calsta-media/documents/placer_a11y.pdf,PCTPA SB 125 Initial Allocation Request Package_12-29-23,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/privacy-policy-calsta.pdf,California State Transportation Agency Privacy Policy,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/rctc_a11y.pdf,SB 125 Formula-Based TIRCP & ZETCP Allocation Package,calsta.ca.gov,12/22/23
https://calsta.ca.gov/-/media/calsta-media/documents/reorganization-plan-a11y.pdf,Governor's Reorganization Plan No. 2 of 2012,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sacog_a11y.pdf,SACOG SB 125 Allocation Package,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/safetrec_grembek_ab2363_06252019-a11y.pdf,Considerations for Speed Limits and Management,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sandag_a11y.pdf,SB 125 Cover Letter,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sb125-disbursement_1_with-projects_a11y.pdf,SB 125 Final Guidelines,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sbcta_a11y.pdf,IAP.B-Initial Allocation Package_Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sdregrailcorridorfinalreportfinala11y.pdf,LA/San Diego Regional Rail Corridor WG final report,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/shasta_a11y.pdf,Allocation Package Narrative,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/shsp_overview-a11y.pdf,"SHSP Vision, Mission & Objective",calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/sra_approved_applications_update__20240524_final-a11y.pdf,"SB-1 State Rail Assistance Program (as of May 24, 2024)",calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_northern_california-a11y.pdf,State Investment in Northern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_southern_california-a11y.pdf,State Investment in Southern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tamc_a11y.pdf,Transportation Agency for Monterey County,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tctc_capti-comments.pdf,TUOlUMNE COUNTY TRANSPORTATION COUNCll,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_final-guidelines_20240426_a11y.pdf,"TIRCP Cycle 7 Final Guidelines - April 30, 2024",calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_guidelines_comparison-20240426_a11y.pdf,TIRCP Cycle 7 Final Guidelines Comparison (04/26/2024),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_pre_application_meetings_common_themes_faqs_final_11_27_19.pdf,TIRCP Pre Application FAQs,calsta.ca.gov,11/18/19
https://calsta.ca.gov/-/media/calsta-media/documents/tircp-2020-final-guidelines.pdf,2020 Transit and Intercity Rail Capital Program Guidelines,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircpcycle7guidelinesworkshopnorcalfinala11y.pdf,TIRCP Cycle 7 Guidelines Workshop (NorCal),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircpcycle7guidelinesworkshopsocalfinala11y.pdf,Transit and Intercity Rail Capital Program (TIRCP) Cycle 7,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/transit_transformation_task_force_meeting_4_information-a11y.pdf,Transit Transformation Task Force Meeting #4 Information,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/transit_transformation_task_force_meetings_6_and_7_meeting_start_and_end_time_adjustments-a11y.pdf,Transit Transformation Task Force Meetings #6 and #7,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/transittransformationtaskforcewelcomeemail_a11y.pdf,Transit Transformation Task Force Welcome Email,calsta.ca.gov,12/15/23
https://calsta.ca.gov/-/media/calsta-media/documents/tttf_5_recommendations_staff_report_final-a11y.pdf,TTTF Meeting #5 Recommendations - Staff Report - Final,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tttf_meeting_5_final_agenda-a11y.pdf,"TTTF Meeting #5 Agenda - Final - August 29, 2024",calsta.ca.gov,8/29/24
https://calsta.ca.gov/-/media/calsta-media/documents/tttf_meeting_6_draft_agenda_final-a11y.pdf,TTTF Meeting #6 Agenda (DRAFT),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tttf5_homework_a11y.pdf,Transit Transformation Task Force #5 Homework Notice,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tttfworkshop34152024meetingminutesapproveda11y.pdf,Transit Transformation Task Force (TTTF) - Meeting #3,calsta.ca.gov,
