publication_title,title_url,author,access_type,source_domain,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,coverage_depth,publication_type,date_monograph_published_print,date_monograph_published_online,embargo_info
IIJA FGM presentation,https://calsta.ca.gov/-/media/calsta-media/documents/01262022_iija_wgmting_fgm_slides-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
California Multimodal Freight Network Framework (FGM SWG),https://calsta.ca.gov/-/media/calsta-media/documents/02172022_mtg2_fgmswg_ca_frntwk_draft_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
TIRCP Cycle 7: Frequently Asked Questions,https://calsta.ca.gov/-/media/calsta-media/documents/20240612-tircp_faq_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Draft CAPTI Spring Stakeholder Workshop,https://calsta.ca.gov/-/media/calsta-media/documents/21-0318_capti_workshop_summary_final.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2021,
BCAG TIRCP/ZETCP Allocation Package -Narrative,https://calsta.ca.gov/-/media/calsta-media/documents/bcag_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Calaveras County - California State Transportation Agency,https://calsta.ca.gov/-/media/calsta-media/documents/calaveras_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
CalSTA FPPC Form 801 Japan Trip March 2023 - signed,https://calsta.ca.gov/-/media/calsta-media/documents/calsta_fppc_form_801_japan_trip_2023_p1-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2023,
CalSTA 2024-2026 Strategic Plan (1-Page),https://calsta.ca.gov/-/media/calsta-media/documents/calsta_sp_one-pager_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
CalSTA Transit Transformation Task Force (TTTF) Meeting 3,https://calsta.ca.gov/-/media/calsta-media/documents/calsta_tttf_meeting_3_presentation_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Leadership Accountability Report,https://calsta.ca.gov/-/media/calsta-media/documents/calsta-slaa-report-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2021,
